,E,C,D,A,G,B,F,H
0,"('retrospective', 28)","('light', 27)","('mineral', 24)","('horizontal', 38)","('soft', 27)","('modest', 17)","('nectarine', 21)","('nectarine', 14)"
1,"('supple', 24)","('fine', 26)","('supple', 24)","('retrospective', 30)","('lime', 18)","('yellow', 11)","('simple', 12)","('apricot', 14)"
2,"('good', 22)","('good', 17)","('good', 21)","('pretty', 22)","('bright', 18)","('tangy', 10)","('pineapple', 10)","('cedary', 14)"
3,"('light', 21)","('supple', 17)","('retrospective', 21)","('mature', 20)","('pineapple', 16)","('herbal', 9)","('smooth', 10)","('concentrated', 13)"
4,"('pretty', 17)","('vertical', 17)","('tight', 19)","('loamy', 19)","('nectarine', 15)","('aromatic', 8)","('soft', 10)","('focused', 10)"
5,"('short', 15)","('tight', 15)","('loamy', 19)","('simple', 18)","('herbal', 15)","('nice', 7)","('distinctive', 9)","('persistent', 10)"
6,"('solid', 15)","('loamy', 14)","('dry', 18)","('berry', 17)","('aromatic', 14)","('bodied', 7)","('pure', 9)","('broad', 10)"
7,"('green', 15)","('intense', 14)","('graphite', 17)","('intense', 17)","('candied', 13)","('bright', 7)","('pithy', 9)","('short', 9)"
8,"('firm', 14)","('silky', 13)","('lean', 16)","('lean', 17)","('simple', 12)","('open', 7)","('herbal', 9)","('crisp', 9)"
9,"('tight', 14)","('generous', 13)","('nice', 15)","('harmonious', 16)","('pretty', 12)","('simple', 6)","('lively', 8)","('delicate', 9)"
10,"('lean', 14)","('subtle', 13)","('intense', 15)","('dry', 16)","('yellow', 12)","('lime', 6)","('lime', 8)","('currant', 9)"
11,"('herbal', 13)","('mineral', 11)","('subtle', 15)","('smoky', 16)","('lively', 12)","('warm', 6)","('focused', 8)","('black', 9)"
12,"('pleasant', 12)","('solid', 11)","('light', 14)","('smooth', 15)","('apricot', 12)","('apricot', 6)","('cedary', 8)","('pithy', 8)"
13,"('horizontal', 12)","('horizontal', 11)","('bright', 13)","('mineral', 15)","('crisp', 11)","('consistent', 6)","('lean', 7)","('smoky', 8)"
14,"('smoky', 12)","('chewy', 11)","('simple', 13)","('deep', 14)","('tangy', 11)","('sleek', 5)","('harmonious', 7)","('pretty', 8)"
15,"('subtle', 12)","('expressive', 11)","('herbal', 13)","('big', 14)","('firm', 11)","('smoky', 5)","('bold', 7)","('vertical', 8)"
16,"('integrated', 11)","('graceful', 10)","('easy', 13)","('lively', 13)","('black', 11)","('nose', 5)","('graceful', 7)","('nice', 7)"
17,"('olive', 11)","('zesty', 10)","('chewy', 12)","('briary', 13)","('pleasant', 10)","('glazed', 5)","('persistent', 7)","('exotic', 7)"
18,"('bright', 11)","('deep', 10)","('dusty', 12)","('pepper', 13)","('modest', 10)","('crisp', 5)","('touch', 7)","('delicious', 7)"
19,"('concentrated', 11)","('little', 10)","('white', 11)","('herbal', 12)","('fragrant', 10)","('honeyed', 5)","('modest', 7)","('tight', 7)"
20,"('fine', 10)","('clean', 9)","('fine', 11)","('green', 12)","('powerful', 10)","('bold', 5)","('tangy', 7)","('red', 7)"
21,"('big', 9)","('green', 9)","('generous', 11)","('impressive', 12)","('vivid', 10)","('pineapple', 5)","('broad', 6)","('deep', 6)"
22,"('mocha', 9)","('nice', 9)","('berry', 11)","('underbrush', 12)",,,,
23,"('harmonious', 9)","('underbrush', 9)","('sleek', 11)","('zesty', 12)",,,,
24,"('roasted', 9)","('focused', 9)","('fleshy', 10)","('bold', 12)",,,,
